"age","inc","educ","fsize","marr","twoearn","db","pira","hown"
27,18156,12,4,1,1,0,0,0
53,21600,12,1,0,0,0,0,0
37,41994,12,4,1,1,0,1,1
31,50346,12,4,1,1,0,0,1
51,19815,15,1,0,0,1,0,0
33,12501,12,2,0,0,1,0,0
35,33012,14,3,0,0,0,0,0
28,38400,12,2,1,1,0,0,1
36,26472,10,3,1,1,0,0,1
32,44460,14,4,1,1,1,0,0
25,27657,12,1,0,0,0,0,0
60,40917,13,3,1,0,0,0,0
35,47040,18,4,1,1,0,0,0
44,22956,6,2,0,0,0,0,0
60,23109,13,2,1,0,0,1,1
34,28380,12,4,1,1,0,0,1
27,32154,13,3,1,1,0,0,0
62,33096,9,2,1,0,0,1,1
34,17883,6,5,1,1,0,0,0
30,22362,13,1,0,0,0,0,0
36,42114,15,6,1,1,0,0,0
52,97299,16,4,1,1,1,1,1
40,36060,13,1,1,0,0,1,1
40,40194,12,3,1,1,1,1,0
53,88422,17,5,1,1,0,1,1
46,7938,12,2,0,0,1,0,0
41,14580,12,3,0,0,0,0,0
30,29616,16,3,1,1,0,1,0
33,38850,12,5,1,0,0,0,1
41,45624,13,4,1,0,0,0,1
45,5277,7,3,0,0,0,0,0
36,21369,12,2,0,0,0,0,1
58,15420,12,2,1,0,0,0,0
25,8925,1,3,0,0,0,0,0
31,20475,17,1,1,0,0,0,0
26,42738,15,3,1,1,0,0,1
30,18753,12,1,0,0,0,0,0
28,14280,6,1,0,0,0,0,0
39,4872,18,2,0,0,0,0,1
31,11364,12,4,1,0,0,0,0
27,48900,12,3,1,1,0,0,0
36,11400,11,2,0,0,0,0,0
46,33375,12,3,1,1,0,0,1
57,11820,12,2,0,0,1,0,1
29,22440,12,3,1,0,0,0,0
53,7440,12,1,0,0,0,0,0
29,19215,12,1,0,0,0,0,0
41,54852,12,5,1,1,1,0,1
40,37062,18,6,1,1,1,0,1
25,15660,14,1,0,0,0,0,0
48,73650,17,4,1,1,1,0,1
30,48111,14,3,1,0,0,0,1
41,22617,12,4,1,1,0,0,1
26,11100,18,1,0,0,0,0,0
42,79650,12,3,1,1,0,1,1
42,6297,13,2,0,0,0,0,1
54,20172,17,2,1,0,0,0,1
56,29529,12,4,1,0,0,0,0
61,4146,12,1,0,0,0,0,0
33,21972,12,2,0,0,1,0,0
42,13440,14,4,0,0,0,0,0
62,16029,8,5,1,0,0,0,1
29,43173,16,4,1,0,0,0,1
28,11376,13,1,0,0,0,0,0
33,30600,9,6,1,0,0,0,0
35,27603,12,4,1,0,0,0,1
42,9120,10,5,0,0,0,0,1
61,17460,8,3,1,1,0,0,0
44,9474,12,5,1,0,0,0,1
37,33366,14,2,0,0,0,0,0
30,4860,15,1,0,0,0,0,0
43,55281,13,4,1,1,0,0,1
35,43134,13,4,1,1,0,0,1
38,23850,9,4,1,1,0,0,1
46,52440,13,3,1,1,0,1,0
62,26880,12,3,1,0,0,0,1
37,30405,12,4,0,0,1,0,1
44,32205,16,5,1,1,0,1,1
30,21036,12,3,1,0,0,0,1
27,12930,16,1,0,0,1,0,0
38,43020,12,5,1,1,0,0,1
38,8160,6,4,1,0,0,0,1
33,19200,13,1,0,0,1,0,0
29,16902,1,7,1,0,0,0,0
33,52476,16,1,0,0,1,0,1
25,27120,12,4,1,0,0,0,1
36,12636,16,7,1,0,0,0,1
58,13440,12,3,0,0,0,0,0
35,57828,12,2,1,1,0,0,1
27,12954,12,5,1,0,0,0,1
57,39312,16,1,0,0,0,0,1
45,2400,12,3,1,0,0,0,0
27,64980,13,1,0,0,1,0,0
60,17544,12,2,0,0,0,0,1
46,14040,12,3,1,0,0,0,0
30,19980,9,5,1,1,0,0,1
25,24120,12,1,0,0,0,0,0
28,24051,12,4,1,0,0,0,0
40,52350,12,2,1,1,0,1,1
35,21012,12,1,0,0,0,0,0
40,56994,12,3,1,1,0,0,1
30,26394,12,1,0,0,0,0,0
30,11220,3,3,0,0,0,0,0
46,29232,14,1,0,0,1,0,0
56,29700,12,3,1,0,0,0,1
45,68457,16,5,1,1,0,1,1
36,10944,13,4,1,1,0,0,0
28,39336,16,3,1,0,0,0,1
61,28050,16,2,1,0,0,1,1
60,23244,12,1,0,0,0,0,1
29,31548,15,6,1,0,0,0,1
33,24840,12,7,1,1,0,0,0
47,66021,14,4,1,1,1,0,0
58,51981,15,5,1,0,0,0,1
32,19659,11,5,1,0,0,0,1
61,45444,13,2,1,0,0,1,1
64,9642,10,1,0,0,0,0,0
57,34410,15,3,1,1,0,0,1
29,26784,13,5,1,1,0,0,1
40,24261,12,4,1,1,0,1,1
41,26901,15,2,0,0,0,0,0
43,32106,12,2,0,0,0,1,1
44,46815,17,3,0,0,1,1,1
32,43560,13,4,1,0,0,0,1
42,47265,18,1,0,0,1,0,0
26,58260,12,3,1,1,0,0,1
33,22560,18,1,0,0,0,0,0
26,40608,12,2,1,1,0,1,1
38,80550,18,2,1,1,0,1,1
27,17004,13,3,0,0,0,0,0
25,34170,16,1,0,0,0,0,0
56,24819,12,3,1,0,0,0,1
55,10800,12,3,0,0,0,0,1
29,26514,15,2,1,0,1,0,0
44,15198,6,3,0,0,0,0,1
33,22050,14,2,0,0,0,0,0
63,11877,12,3,0,0,0,0,0
40,18030,12,3,0,0,0,0,0
56,7920,12,1,0,0,0,0,1
50,19302,12,6,1,1,1,0,1
52,35409,6,2,1,1,0,1,1
50,32940,12,3,1,0,1,0,0
40,21315,13,2,0,0,0,1,1
26,86820,18,1,0,0,0,1,0
26,3450,8,1,1,0,0,0,0
26,27975,12,3,1,0,0,0,1
40,3696,12,3,0,0,0,0,1
28,56082,17,2,1,1,0,0,0
47,18069,12,3,0,0,1,0,1
37,22950,7,7,1,1,0,0,0
63,27540,12,2,1,0,0,0,1
31,17604,12,1,0,0,0,0,0
29,39051,16,1,0,0,0,0,0
34,96174,16,5,1,1,0,0,0
28,47070,12,2,1,1,0,0,1
48,37848,17,4,1,1,0,0,1
44,21000,18,7,0,0,0,0,0
54,4686,11,3,0,0,0,0,1
42,24600,12,1,0,0,0,0,1
56,22464,12,2,1,1,0,1,1
37,28500,12,3,0,0,0,0,1
54,10440,8,2,0,0,0,0,0
59,13332,10,2,1,0,0,0,1
40,17136,7,4,0,0,0,0,0
58,63360,13,2,1,1,0,1,1
46,27978,16,3,0,0,1,1,1
28,43146,14,4,1,1,0,0,0
48,10338,12,3,1,0,0,0,1
42,19152,18,2,0,0,1,0,1
27,58320,12,3,1,1,1,1,0
43,11460,12,1,0,0,0,0,1
26,13818,14,1,0,0,1,0,0
35,26640,12,3,1,1,0,0,1
29,17079,14,1,0,0,0,0,0
34,57021,14,3,1,0,0,0,0
29,12690,18,1,0,0,0,1,0
27,58446,16,2,1,1,0,0,0
35,34836,14,5,1,1,1,0,1
63,25548,12,4,0,0,0,0,1
30,13110,11,3,0,0,0,0,0
46,18918,12,2,1,0,1,1,1
40,39201,12,1,0,0,0,1,1
39,36984,18,1,0,0,1,1,1
61,34737,12,2,1,0,0,0,1
32,29700,12,3,0,0,0,0,1
44,22248,6,8,1,1,0,0,1
44,67602,16,7,1,1,1,1,1
27,33453,16,3,1,1,1,0,1
42,69375,16,1,0,0,0,0,0
40,42633,16,5,1,1,0,0,1
45,70755,17,2,1,1,0,1,1
25,13320,11,2,0,0,0,0,0
34,102996,18,3,1,1,0,0,1
37,34803,11,5,1,1,0,0,1
30,6471,14,4,0,0,0,0,0
37,19455,12,1,0,0,1,1,0
61,39081,10,2,1,0,0,1,1
51,15000,12,1,0,0,0,0,0
35,24144,14,4,1,0,0,0,0
48,52206,12,7,1,1,0,0,1
38,23877,12,2,1,0,0,1,0
43,59208,12,4,1,1,0,0,1
33,41712,12,4,1,0,0,0,1
49,46791,12,2,1,1,0,0,1
40,54261,16,5,1,1,0,1,1
29,16491,15,5,1,0,0,0,0
27,13215,13,1,0,0,0,0,0
37,53835,12,4,1,1,1,0,1
42,29298,15,4,1,1,1,0,1
25,16278,12,3,0,0,0,0,0
27,10857,12,1,0,0,0,0,1
39,47937,12,4,1,1,0,0,1
52,16590,12,2,0,0,0,0,1
30,44424,12,2,1,1,0,0,0
25,11733,12,2,1,0,0,0,0
29,36885,12,4,1,1,0,0,1
58,33510,12,2,1,0,0,0,1
37,19440,12,1,0,0,1,1,1
48,59256,17,2,0,0,0,1,0
45,50328,14,2,0,0,0,1,1
55,31014,16,2,1,0,1,1,1
53,40926,12,3,1,1,0,0,1
44,15603,7,2,1,0,0,0,1
33,24060,12,1,0,0,0,0,1
48,12513,16,1,0,0,0,0,0
28,11688,12,3,0,0,0,0,0
39,45762,17,4,1,0,0,1,1
37,55560,13,4,1,1,0,1,1
28,30879,16,1,0,0,0,1,1
28,27030,16,1,0,0,0,0,0
63,87720,18,3,1,1,1,1,1
61,29982,12,1,0,0,0,1,0
39,10350,12,4,0,0,0,0,0
35,16845,11,1,0,0,0,0,0
46,17100,13,1,0,0,0,0,1
29,44895,15,3,1,1,0,0,1
47,30720,15,2,0,0,0,0,0
27,29661,16,1,0,0,0,1,0
48,73017,18,3,1,1,0,1,1
36,65505,17,4,1,1,1,0,1
38,30540,11,4,1,1,0,0,1
37,9792,10,2,0,0,0,0,0
26,55311,18,2,1,1,1,0,0
25,26268,10,3,1,1,0,0,0
60,2307,10,2,0,0,0,0,1
64,53379,16,4,1,0,0,1,1
48,54504,12,3,1,0,0,0,0
27,35205,11,5,1,0,0,0,0
28,9408,9,5,0,0,0,0,0
32,24840,7,3,1,1,0,0,0
56,22140,14,7,0,0,1,0,0
46,56094,12,2,1,1,1,0,1
30,7275,16,1,0,0,0,0,1
27,61125,16,2,1,1,0,0,0
32,34452,13,3,1,1,0,0,1
39,13650,12,3,0,0,0,0,0
36,10185,12,5,1,1,0,0,0
51,35847,12,1,0,0,1,1,1
49,16578,7,1,0,0,0,0,0
35,24705,18,4,1,0,0,0,0
25,36042,16,2,1,1,1,0,0
32,18756,12,2,0,0,0,0,1
25,3876,12,2,0,0,0,0,0
40,70650,15,4,1,1,1,1,1
64,28017,12,2,1,0,0,1,1
57,23280,12,1,0,0,1,0,0
50,45015,12,6,1,1,1,1,1
54,26202,12,1,0,0,0,0,0
36,17055,13,2,0,0,0,0,0
28,19770,12,4,1,1,1,0,1
34,18573,13,5,1,0,0,0,0
43,18360,12,4,1,0,0,0,0
45,15561,12,2,0,0,0,0,0
38,28143,12,4,1,1,0,0,1
30,33210,12,1,0,0,1,0,1
49,13200,10,4,1,0,0,1,1
49,25923,14,1,0,0,0,0,1
63,41064,12,3,1,0,0,1,1
58,39150,13,2,1,0,0,1,1
46,2205,12,6,0,0,0,0,0
33,43830,15,3,1,1,0,1,1
51,17616,12,3,1,0,1,1,1
43,27381,14,2,0,0,0,1,0
40,38760,14,5,1,1,0,0,1
62,30381,11,2,1,0,0,0,1
55,27033,12,1,0,0,0,0,1
29,28149,13,4,1,0,0,0,0
32,41175,12,2,1,1,1,0,0
42,24345,12,3,1,1,0,0,0
56,32376,12,2,1,0,0,0,1
31,14931,16,1,0,0,0,0,1
49,39102,12,3,1,0,0,0,1
52,53955,12,4,1,1,0,0,1
43,65820,14,2,1,1,1,1,1
30,22236,12,2,1,1,0,0,0
35,37548,12,5,1,1,0,0,1
47,17172,12,7,1,1,0,0,1
30,21306,16,2,0,0,0,0,1
25,27030,12,1,0,0,1,0,1
36,29160,12,6,1,0,0,0,1
36,20280,10,5,1,1,0,0,1
57,4680,18,1,0,0,1,0,0
36,77940,15,4,1,1,0,0,1
28,22680,12,4,1,1,0,0,1
62,31692,8,2,1,0,0,1,1
44,37500,13,1,0,0,0,1,1
27,8826,13,1,0,0,0,0,1
48,32325,12,3,1,0,1,1,1
48,11913,9,1,0,0,0,0,0
49,15570,7,1,0,0,0,0,0
43,29898,15,4,1,1,0,1,1
45,13428,15,1,0,0,0,0,0
39,25770,17,2,1,1,0,0,0
27,44640,16,3,1,0,0,0,1
39,20760,12,2,1,1,0,0,1
31,12240,14,2,1,0,0,0,0
29,16236,14,3,0,0,0,0,1
58,28440,15,2,1,0,0,0,1
26,36090,12,2,1,1,0,0,1
50,27,16,3,1,0,0,0,1
29,18540,14,3,1,1,0,0,1
28,41130,14,2,1,1,0,0,1
58,20490,12,4,1,1,0,0,1
41,15642,12,2,0,0,1,0,1
52,14040,12,1,0,0,0,0,0
55,54963,12,2,1,0,0,0,1
30,33219,12,2,1,0,0,0,0
57,49509,18,1,0,0,0,0,1
25,10161,15,1,0,0,0,0,0
35,11628,17,3,0,0,0,0,1
38,35247,12,1,0,0,1,1,0
41,39630,13,3,1,1,0,0,0
32,21399,10,1,0,0,0,0,0
56,33477,12,4,1,0,0,1,0
35,34647,15,1,0,0,0,0,0
58,100329,15,3,1,1,0,0,1
31,20526,12,3,1,0,0,0,1
43,73710,18,2,1,0,0,1,1
59,47064,12,3,1,0,0,0,1
39,54900,18,3,1,0,0,1,1
56,16092,8,4,1,0,0,0,1
42,28554,14,3,1,0,0,0,1
33,38136,14,4,1,1,0,0,1
40,24084,5,6,1,1,0,0,1
38,85092,13,4,1,1,0,0,1
36,15645,16,1,0,0,0,1,1
46,35610,18,2,1,0,0,0,1
25,44070,12,5,1,0,0,0,0
36,14460,12,4,1,0,0,0,0
62,30429,13,2,1,0,0,0,1
44,44934,18,3,0,0,1,1,1
31,23550,12,3,1,0,0,0,1
33,14280,10,5,1,0,0,0,1
45,28875,12,2,0,0,1,1,1
56,37755,12,2,1,1,0,0,1
35,8670,12,3,0,0,0,0,0
35,6000,13,2,1,0,0,0,1
28,21891,13,5,1,1,1,0,1
46,15144,10,3,0,0,0,0,1
31,7320,16,2,0,0,0,0,0
32,12243,12,1,0,0,0,0,0
32,10929,12,1,0,0,0,0,0
47,10590,12,3,0,0,0,0,1
29,64560,16,2,1,1,1,0,0
59,18936,8,3,1,0,1,0,1
54,34035,16,1,0,0,1,1,1
35,16077,12,4,1,0,0,0,1
42,7470,4,3,0,0,0,0,0
51,16350,12,3,0,0,0,0,1
32,50970,15,2,1,0,0,0,1
43,39612,12,2,1,1,0,0,1
32,35832,18,4,1,1,1,0,1
28,19152,14,3,1,1,0,0,0
29,14892,14,2,1,1,0,0,1
34,19362,12,5,1,0,0,0,1
32,21306,14,1,0,0,0,0,1
26,24348,13,2,1,1,1,0,1
38,2661,18,1,0,0,0,0,0
41,12000,9,5,1,0,0,0,1
49,24882,11,3,1,1,1,0,1
36,12750,10,3,1,0,0,0,0
64,18090,9,1,0,0,1,1,0
53,34191,12,4,1,0,0,1,1
61,60150,18,2,0,0,0,0,1
50,54981,12,2,1,1,0,0,1
44,15513,15,4,1,1,0,0,0
31,12816,10,7,1,0,0,0,0
33,14520,12,1,0,0,0,0,0
61,8382,12,2,1,0,0,0,1
62,14100,12,3,1,0,0,0,1
41,43410,12,4,1,1,0,0,0
28,15669,12,5,1,1,0,0,0
63,61476,16,2,1,1,0,1,1
30,30210,16,2,0,0,0,1,0
45,15780,10,2,0,0,1,0,1
27,8640,12,1,0,0,0,0,0
26,18000,18,1,0,0,0,0,0
31,46800,16,3,1,1,0,0,0
31,29025,13,1,0,0,0,0,0
32,59958,12,4,1,1,0,0,1
28,25200,12,1,0,0,0,0,0
34,48900,12,4,1,1,0,0,1
47,23067,10,4,1,1,0,0,1
42,28350,12,5,1,1,0,0,0
45,50883,12,6,1,1,0,0,1
31,30324,12,4,1,0,0,0,1
30,10272,12,1,0,0,0,0,0
31,50388,15,2,1,1,0,0,1
44,22692,12,1,0,0,1,0,0
40,42672,12,4,1,0,0,0,1
43,30333,14,3,0,0,0,0,1
52,10968,9,4,1,0,0,0,1
33,6855,12,3,0,0,0,0,0
34,19890,12,1,0,0,0,0,0
55,30954,12,2,1,1,0,1,1
39,14790,6,5,1,0,0,0,0
53,32559,12,3,1,1,0,1,1
26,2025,16,1,0,0,0,0,0
39,48360,13,4,1,1,0,0,1
38,71703,16,1,0,0,0,1,1
34,34800,10,3,1,1,0,0,0
64,36798,15,2,1,1,0,0,1
46,64203,12,5,1,1,1,0,0
25,26610,16,1,0,0,0,0,0
41,12900,9,1,0,0,0,0,0
56,12723,10,3,0,0,0,0,0
44,35034,14,4,1,1,0,0,1
45,26661,11,4,1,0,0,0,0
27,28809,14,3,1,0,0,0,0
44,34965,17,3,0,0,0,0,1
43,103356,18,3,1,0,0,1,1
49,41100,16,1,1,0,0,0,0
61,17430,12,4,0,0,0,0,0
53,13770,3,3,1,0,0,0,1
52,6282,9,2,0,0,0,0,1
35,30804,16,1,0,0,0,0,0
36,25020,15,1,0,0,1,0,0
38,11040,12,4,0,0,0,0,0
29,16800,11,3,0,0,0,0,0
57,25008,3,3,1,1,0,0,0
26,21990,12,5,1,1,1,0,1
33,74568,18,2,1,1,0,0,1
36,63288,15,2,1,1,0,0,0
55,55326,18,1,0,0,0,1,0
42,36489,18,3,1,0,1,0,1
34,17022,18,1,0,0,0,0,0
43,36000,12,3,1,1,0,0,1
28,26493,6,5,1,1,0,0,0
50,37437,13,2,1,1,1,0,1
26,16860,14,1,0,0,0,0,1
31,14880,16,1,0,0,0,0,0
33,90306,17,4,1,1,1,0,1
44,3825,12,1,0,0,0,0,0
31,15300,12,3,1,0,0,0,0
39,46791,16,4,1,0,0,1,0
38,20985,10,5,1,1,0,0,1
52,26856,12,2,1,1,1,0,1
38,41982,14,4,0,0,1,0,1
46,38925,13,4,1,1,0,1,1
36,22815,13,2,0,0,0,1,1
47,57924,12,4,1,0,0,0,0
27,31308,12,1,0,0,0,0,0
25,17310,12,1,0,0,0,0,0
53,49452,12,2,1,1,0,0,1
36,8640,12,3,0,0,0,0,1
26,5280,12,1,0,0,0,0,1
31,8670,12,4,1,0,0,0,0
53,21816,10,1,0,0,1,0,0
60,58830,16,2,1,0,1,0,1
43,14070,4,4,1,0,0,0,1
49,21648,12,3,0,0,0,0,1
25,37257,18,2,1,1,0,0,1
42,17952,12,3,0,0,1,0,0
31,22011,9,7,1,0,0,0,1
48,30240,12,2,1,1,0,0,1
54,9600,12,3,1,0,0,0,1
53,28317,11,2,1,0,0,0,1
42,16338,12,4,0,0,0,0,0
32,19200,14,1,0,0,0,0,0
42,53205,6,5,1,1,0,0,1
52,27465,16,4,1,0,1,0,1
46,4800,12,2,0,0,0,0,0
39,33300,12,4,1,1,0,0,1
46,160200,14,6,1,1,0,1,1
55,39528,10,2,1,1,1,1,0
63,25611,9,2,1,0,0,0,1
43,32316,10,4,1,1,1,0,0
34,41757,12,4,1,0,0,1,1
32,13800,18,1,0,0,0,0,0
55,8850,4,2,0,0,0,0,1
36,17280,12,3,0,0,0,0,0
33,11340,14,4,0,0,0,0,0
46,7767,12,5,1,0,0,0,1
56,57984,16,2,1,1,1,1,1
51,19968,18,2,0,0,0,0,1
27,43518,12,3,1,1,0,0,0
58,17448,8,1,0,0,1,0,0
34,28869,13,4,1,0,0,0,1
58,23706,12,2,1,0,0,1,1
43,10668,17,1,0,0,0,0,0
28,19701,6,4,1,1,0,0,1
36,15186,9,4,1,0,0,1,1
35,32022,14,3,1,0,0,0,0
28,20730,14,4,1,1,0,0,0
30,32430,14,3,1,1,0,0,1
36,51165,14,4,1,1,0,0,1
39,7143,8,6,1,1,0,0,0
49,134490,18,5,1,1,1,1,1
44,11610,12,1,0,0,0,0,1
46,36390,12,4,1,1,0,0,1
33,14877,12,1,0,0,0,0,0
35,19287,12,3,0,0,0,0,0
47,33792,17,6,1,0,0,0,1
56,25761,16,2,1,0,0,0,1
43,29808,12,3,1,0,0,0,1
27,26940,18,1,0,0,0,0,0
52,22488,12,3,1,0,0,1,1
33,22764,11,4,1,1,0,0,1
34,42429,13,2,1,1,1,1,1
40,47355,14,4,1,1,0,0,1
29,33600,14,4,1,1,0,0,0
59,64956,18,3,1,1,0,1,1
44,59664,14,5,1,1,0,1,1
42,47682,12,4,1,0,0,0,1
25,27918,16,1,0,0,0,0,0
34,53520,13,3,1,1,0,0,0
41,46080,16,5,1,1,0,0,1
34,22800,12,2,0,0,0,0,0
62,65028,12,2,1,0,0,1,1
30,67125,16,2,1,1,0,1,0
28,31800,12,4,1,0,0,0,0
26,16983,12,1,0,0,1,0,0
59,13974,7,3,0,0,0,1,1
33,19236,17,1,0,0,1,0,0
46,12630,12,1,0,0,0,0,0
48,21066,14,2,0,0,0,0,1
32,17550,13,2,1,0,0,0,0
62,58272,11,1,0,0,1,0,1
29,18000,12,1,0,0,0,0,0
48,77913,14,2,1,1,1,0,1
29,27486,10,6,1,0,0,1,0
26,33651,14,1,0,0,0,0,0
32,20205,13,5,1,0,0,0,0
41,45810,14,4,1,1,0,1,1
32,67422,12,4,1,1,0,0,0
40,124932,17,4,1,1,0,1,1
63,43902,9,2,1,0,0,0,1
31,3603,16,1,0,0,0,0,0
53,96909,12,4,1,1,0,0,1
56,27621,12,2,1,1,0,0,1
45,61560,16,4,1,1,0,1,1
52,9000,12,2,0,0,1,0,1
43,18900,12,3,0,0,0,0,0
63,15558,12,1,0,0,0,0,0
26,32640,12,1,0,0,0,0,0
48,41655,10,3,1,1,1,1,1
46,32895,11,1,0,0,1,0,1
27,10248,13,6,1,0,0,0,0
37,37662,12,11,1,1,0,0,0
59,23976,14,2,1,0,0,0,1
53,31386,12,3,1,0,0,0,1
42,22941,12,4,0,0,1,0,1
32,30186,12,2,1,1,0,0,1
43,19068,12,3,0,0,0,0,1
25,19800,9,1,0,0,1,0,1
31,28080,12,3,1,1,0,0,1
31,28467,11,3,1,1,1,0,0
42,36603,12,4,1,1,0,0,1
40,10560,12,3,0,0,0,0,0
53,34755,12,3,1,1,0,0,1
54,9816,12,1,0,0,0,1,1
28,23382,16,1,0,0,0,0,0
60,55476,12,2,0,0,1,1,1
30,16800,12,1,0,0,0,0,0
37,25488,12,4,1,1,0,0,1
48,52836,12,3,1,1,0,0,1
31,50529,16,2,1,1,0,1,1
29,42828,14,2,1,1,0,0,1
32,34455,13,3,1,1,0,1,1
27,39003,15,2,1,1,1,0,0
32,12750,10,1,0,0,0,0,0
42,15786,12,4,0,0,0,0,0
35,9600,12,3,0,0,0,1,0
41,33225,18,1,0,0,0,1,0
53,29169,12,4,1,0,0,1,1
34,9600,12,3,0,0,0,0,0
28,25500,12,4,1,0,0,0,0
61,50919,18,3,1,1,1,0,1
39,29232,18,1,0,0,1,1,1
37,12900,12,3,0,0,1,0,0
31,38319,12,3,1,1,0,0,0
53,21000,12,3,1,1,0,0,1
60,31605,12,1,0,0,1,0,1
50,48660,12,3,0,0,0,1,1
36,17379,10,3,0,0,0,1,1
35,19464,12,4,0,0,1,0,1
44,26472,12,4,1,0,0,0,1
50,30660,12,3,1,1,1,0,0
43,20583,16,4,0,0,1,0,0
25,47322,16,2,1,1,0,0,1
64,18450,6,5,1,0,0,0,1
45,33084,10,2,0,0,0,0,1
55,45990,6,5,1,1,0,1,1
50,30636,12,2,0,0,0,0,1
64,18738,11,2,1,1,0,1,1
35,32265,12,4,1,1,0,0,1
49,18153,12,4,1,0,0,0,0
35,37965,17,1,0,0,0,0,0
39,21216,11,1,0,0,0,0,0
45,27648,8,3,1,1,0,0,1
41,1035,16,1,0,0,1,0,0
61,66528,12,2,1,0,0,1,1
29,19491,18,1,0,0,0,0,0
45,35565,12,3,0,0,0,0,0
31,10008,12,4,0,0,0,0,0
50,18348,6,4,0,0,0,0,1
58,44640,12,1,0,0,0,1,1
31,5232,17,1,0,0,0,0,0
41,9798,16,1,0,0,0,1,1
38,30600,18,1,1,0,0,0,0
41,26022,15,2,0,0,1,0,0
40,13290,13,3,0,0,0,0,1
31,63858,12,5,1,0,0,0,1
45,23670,10,12,1,0,0,0,1
49,20082,16,4,1,0,0,1,1
40,51198,14,2,1,1,0,0,1
36,43440,16,4,1,0,0,0,0
29,9900,1,3,0,0,0,0,0
52,45135,12,2,1,0,0,1,1
38,17652,12,3,0,0,0,0,1
27,35745,17,2,1,1,0,0,0
35,27486,14,2,1,0,0,1,0
48,40452,1,1,0,0,0,1,1
33,24114,9,3,1,1,0,0,0
34,27876,14,5,1,0,0,1,1
37,39000,12,2,0,0,0,0,1
47,47292,16,1,0,0,1,0,1
39,34509,12,1,0,0,0,0,0
40,25500,12,6,1,0,0,0,1
48,39651,12,2,0,0,0,0,1
58,22953,11,1,0,0,0,0,1
57,5220,18,1,0,0,1,0,0
62,20796,14,2,1,0,0,0,1
61,3636,9,1,0,0,0,0,0
42,14928,12,4,0,0,1,0,1
33,31575,12,2,1,1,1,0,1
61,16200,10,2,1,1,0,0,0
38,31674,15,1,0,0,1,0,1
